"date","site_code","grab_sample","var","var_category","val","ms_status","ms_interp","val_err"
2021-04-20,"ARIK",0,"discharge","discharge",37.6327044753086,0,0,0.000355272698496917
2021-04-21,"ARIK",0,"discharge","discharge",34.1794605709877,0,0,0.000476913571596681
2021-04-22,"ARIK",0,"discharge","discharge",33.0760410493827,0,0,0.000106623811187004
2021-04-23,"ARIK",0,"discharge","discharge",30.8347778549383,0,0,0.000260956157787762
2021-04-24,"ARIK",0,"discharge","discharge",28.4434777006173,0,0,0.000320802831110478
2021-04-25,"ARIK",0,"discharge","discharge",26.396311882716,0,0,0.00022098602117373
2021-04-26,"ARIK",0,"discharge","discharge",25.2886509259259,0,0,0.000162407059015791
2021-04-27,"ARIK",0,"discharge","discharge",27.0393465277778,0,0,0.000264492335065871
2021-04-28,"ARIK",0,"discharge","discharge",163.516675132641,0,0,0.0617501773920593
2021-04-29,"ARIK",0,"discharge","discharge",124.049333256173,0,0,0.00614600554787727
2021-04-30,"ARIK",0,"discharge","discharge",73.9795953703704,0,0,0.00106914020441821
2021-05-01,"ARIK",0,"discharge","discharge",58.8778047067901,0,0,0.000577903799664397
2021-05-02,"ARIK",0,"discharge","discharge",54.6642449074074,0,0,0.000250133748500845
2021-05-03,"ARIK",0,"discharge","discharge",50.185799845679,0,0,0.0002577809520443
2021-05-04,"ARIK",0,"discharge","discharge",47.0838286795541,0,0,0.0399795410969776
2021-05-05,"ARIK",0,"discharge","discharge",49.386252220272,0,0,0.000357504364939703
2021-05-06,"ARIK",0,"discharge","discharge",46.7728328703704,0,0,0.000283312700589355
2021-05-07,"ARIK",0,"discharge","discharge",48.2621537808642,0,0,0.000167830886060663
2021-05-08,"ARIK",0,"discharge","discharge",47.35040625,0,0,0.000115457284064925
2021-05-09,"ARIK",0,"discharge","discharge",53.3954430555556,0,0,0.000435813349891701
2021-05-10,"ARIK",0,"discharge","discharge",59.6528939814815,0,0,0.000502947069033973
2021-05-11,"ARIK",0,"discharge","discharge",93.5114683641975,0,0,0.00308639142028499
2021-05-12,"ARIK",0,"discharge","discharge",120.84566404321,0,0,0.000778034156439179
2021-05-13,"ARIK",0,"discharge","discharge",101.30402387227,0,0,0.00117729244536389
2021-05-14,"ARIK",0,"discharge","discharge",89.4351854166667,0,0,0.000379715820815745
2021-05-15,"ARIK",0,"discharge","discharge",84.406449537037,0,0,0.00029945240484262
2021-05-16,"ARIK",0,"discharge","discharge",84.7770665123457,0,0,0.000355789025879306
2021-05-17,"ARIK",0,"discharge","discharge",108.361997376543,0,0,0.00247653142134218
2021-05-18,"ARIK",0,"discharge","discharge",162.483781404321,0,0,0.00253197735861138
2021-05-19,"ARIK",0,"discharge","discharge",150.926895138889,0,0,0.000885629591962323
2021-05-20,"ARIK",0,"discharge","discharge",133.038900385802,0,0,0.000840478416809092
2021-05-21,"ARIK",0,"discharge","discharge",121.480207716049,0,0,0.000611503497876202
2021-05-22,"ARIK",0,"discharge","discharge",123.813664429012,0,0,0.00121140503826769
2021-05-23,"ARIK",0,"discharge","discharge",123.104051929012,0,0,0.00103622040501431
2021-05-24,"ARIK",0,"discharge","discharge",114.844950925926,0,0,0.000969522656717296
2021-05-25,"ARIK",0,"discharge","discharge",108.013515817901,0,0,0.00117349633189684
2021-05-26,"ARIK",0,"discharge","discharge",92.5728350308642,0,0,0.000689625383514991
2021-05-27,"ARIK",0,"discharge","discharge",82.2820237654321,0,0,0.000856072289424096
2021-05-28,"ARIK",0,"discharge","discharge",65.930224845679,0,0,0.000648325387630437
2021-05-29,"ARIK",0,"discharge","discharge",60.189693287037,0,0,0.000642944607648623
2021-05-30,"ARIK",0,"discharge","discharge",94.0695091820988,0,0,0.00702927870047808
2021-05-31,"ARIK",0,"discharge","discharge",213.033790432099,0,0,0.00407024321124229
2021-06-01,"ARIK",0,"discharge","discharge",199.245718943556,0,0,0.0841426721218262
2021-06-02,"ARIK",0,"discharge","discharge",134.499647868037,0,0,0.00515863450251119
2021-06-03,"ARIK",0,"discharge","discharge",100.485438580247,0,0,0.00149653901547019
2021-06-04,"ARIK",0,"discharge","discharge",71.8265536643333,0,0,0.00564585396313791
2021-06-05,"ARIK",0,"discharge","discharge",52.8952010030864,0,0,0.000983926273224456
2021-06-06,"ARIK",0,"discharge","discharge",38.5236097993827,0,0,0.000715823012543131
2021-06-07,"ARIK",0,"discharge","discharge",26.8283461419753,0,0,0.000366196896069207
2021-06-08,"ARIK",0,"discharge","discharge",20.0493275462963,0,0,0.000472860343336573
2021-06-09,"ARIK",0,"discharge","discharge",13.3263337852734,0,0,0.000384670213253022
2021-06-10,"ARIK",0,"discharge","discharge",10.5211661265432,0,0,0.000515083251834289
